一不小心	yrt brt siu srm
中国人民	zuj guok yrn mrn
中国共产党中央委员会总书记	zuj guok guj can doj zuj yxj wri yvn wui zuj sv gei
中国共产党中央政治局	zuj guok guj can doj zuj yxj zij zi guk
中国共产党中央政治局常务委员会	zuj guok guj can doj zuj yxj zij zi guk sxj mou wri yvn wui
中国功夫	zuj guok guj fu
中国南方航空公司	zuj guok nam foj hoj huj guj si
中国南方航空股份有限公司	zuj guok nam foj hoj huj gu frn yru han guj si
中国史	zuj guok si
中国四大发明	zuj guok sei dai fat mij
中国国家图书馆	zuj guok guok ga tou sv gun
中国大陆	zuj guok dai luk
中国字	zuj guok zi
中国政府	zuj guok zij fu
中国文化	zuj guok mrn fa
中国文学	zuj guok mrn hok
中国历史	zuj guok lik si
中国石油天然气股份有限公司	zuj guok sek yru tin yin hei gu frn yru han guj si
中国网络审查	zuj guok moj lok srm ca
中国语	zuj guok yv
中国象棋	zuj guok zxj kei
中国音乐	zuj guok yrm jok
中国香港	zuj guok hxj goj
中坑	zuj haj
中堂	zuj toj
中场休息	zuj cxj yru sik
中大	zuj dai
中央图书馆	zuj yxj tou sv gun
中央处理器	zuj yxj cv lei hei
中女	zuj nxi
中学	zuj hok
中学教师	zuj hok gau si
中学会考	zuj hok wui hau
中学鸡	zuj hok gri
中小	zuj siu
中山路	zuj san lou
中州	zuj zru
中年人	zuj nin yrn
中庸之道	zuj yuj zi dou
中心	zuj srm
中心内容	zuj srm noi yuj
中心思想	zuj srm si sxj
中文大学	zuj mrn dai hok
中文字	zuj mrn zi
中文数字	zuj mrn sou zi
中文系	zuj mrn hri
中更	zuj grj
中乐	zuj jok
中档	zuj doj
中环中心	zuj wan zuj srm
中环广场	zuj wan guoj cxj
中环街市	zuj wan gai si
中用	zuj yuj
中码	zuj ma
中立国家	zuj lap guok ga
中等	zuj drj
中美关系	zuj mei guan hri
中美高	zuj mei gou
中耕	zuj gaj
中肯	zuj hrj
中脑	zuj nou
中英联合声明	zuj yij lvn hrp sij mij
中菜	zuj coi
中华人民共和国主席	zuj wa yrn mrn guj wo guok zv zik
中华人民共和国国务院	zuj wa yrn mrn guj wo guok guok mou yvn
中华人民共和国国徽	zuj wa yrn mrn guj wo guok guok fri
中华人民共和国香港特别行政区	zuj wa yrn mrn guj wo guok hxj goj drk bit hrj zij kxi
中华巴士	zuj wa ba si
中华民族	zuj wa mrn zuk
中华白海豚	zuj wa bak hoi tvn
中华航空	zuj wa hoj huj
中华英雄	zuj wa yij huj
中蛇	zuj se
中褛	zuj lru
中资集团	zuj zi zap tvn
中途宿舍	zuj tou suk se
中部国际机场	zuj bou guok zri gei cxj
中医药	zuj yi yxk
中银大厦	zuj jrn dai ha
中间人	zuj gan yrn
中间界	zuj gan gai
中电	zuj din
中频	zuj prn
中飞	zuj fei
串仔	cvn zi
串埋	cvn mai
串女	cvn nxi
串字	cvn zi
串讲	cvn goj
丸仔	yvn zri
丹墀	dan ci
丹尼士巨龙	dan nei si gxi luj
主人房	zv yrn foj
主任	zv yrm
主使	zv si
主修科目	zv sru fo muk
主力墙	zv lik cxj
主力军	zv lik gurn
主动	zv duj
主动权	zv duj kvn
主唱	zv cxj
主婚	zv frn
主妇手	zv fu sru
主将	zv zxj
主帅	zv sxi
主持正义	zv ci zij yi
主教山	zv gau san
主旨	zv zi
主根	zv grn
主次	zv ci
主治	zv zi
主礼	zv lri
主笔	zv brt
主考	zv hau
主脑	zv nou
主要	zv yiu
主要原因	zv yiu yvn yrn
主要指标	zv yiu zi biu
主谋	zv mru
主办单位	zv ban dan wri
主题公园	zv tri guj yvn
主题乐园	zv tri lok yvn
乃念	nai nim
久一…久二…	gru yrt …gru yi…
久不久	gru brt gru
久唔久	gru m gru
之不过	zi brt guo
之但系	zi dan hri
之先	zi sin
之嘛	zi ma
之字线	zi zi sin
之余	zi yv
尹光	wrn guoj
尹天照	wrn tin ziu
尹扬明	wrn yxj mij
乍到	za dou
乍暖还寒	za nvn wan hon
乏人问津	frt yrn mrn zxn
乏善足陈	frt sin zuk crn
乒乒乓乓	pij pij poj poj
乒乓波	bij brm bo
[]	pij lij baj laj
乖乖	guai guai
乖乖仔	guai guai zri
乖乖女	guai guai nxi
乖仔	guai zri
乖女	guai nxi
乖舛	guai cvn
乖猪	guai zv
乘搭	sij dap
乙部	yvt bou
乜乜物物	mrt mrt mrt mrt
乜事	mrt si
乜人	me yrn
乜嘢话	mrt ye wa
乜春	mrt cxn
乜东东	mrt duj duj
乜水	me sxi
乜滞	mrt zri
乜花款	mrt fa fun
乜说话	me svt wa
乜谁	mrt sxi
乜都	me dou
乜都假	mrt dou ga
乜都得	mrt dou drk
乜野	me ye
乜头乜路	mrt tru mrt lou
乜鬼	mrt guri
九七年	gru crt nin
九九金	gru gru grm
九个字	gru go zi
九出十三归	gru cxt srp sam guri
九十九	gru srp gru
九十年代	gru srp nin doi
九千	gru cin
九唔搭八	gru m dap bat
九因歌	gru yrn go
九大簋	gru dai guri
九子连环	gru zi lin wan
九宫格	gru guj gak
九广西铁	gru guoj sri tit
九广铁路	gru guoj tit lou
九广铁路公司	gru guoj tit lou guj si
九廿几	gru ya gei
九成九	gru sij gru
九方输入法	gru foj sv yrp fat
九族	gru zuk
九日	gru yrt
九曲十三弯	gru kuk srp sam wan
九江煎堆	gru goj zin dxi
九肚鱼	gru tou yv
九针群岛	gru zrm qurn dou
九铁	gru tit
九点钟	gru dim zuj
九龙公园	gru luj guj yvn
九龙城区	gru luj sij kxi
九龙城寨公园	gru luj sij zai guj yvn
九龙塘	gru luj toj
九龙山	gru luj san
九龙巴士	gru luj ba si
九龙水塘	gru luj sxi toj
九龙清真寺	gru luj cij zrn zi
九龙湾	gru luj wan
九龙医院	gru luj yi yvn
乞人憎	hrt yrn zrj
乞儿相	hrt yi sxj
乞嗤	hrt ci
乞米	hrt mri
乞衣	hrt yi
乞降	hrt goj
乞灵	hrt lij
也不	ya brt
也好	ya hou
也文也武	ya mrn ya mou
也是	ya si
也与	ya yv
乳名	yv mej
乳糖消化不良	yv toj siu fa brt lxj
乳饼	yv bej
乳鸽	yv gap
乳齿象	yv ci zxj
乸型	na yij
乸声乸气	na sej na hei
乸脷	na lei
干净	gon zej
干包	gon bau
干噌噌	gon zrj zrj
干塘	gon toj
干工	gon guj
干巴	gon ba
干手淨脚	gon sru zej gxk
干时紧月	gon si grn yvt
干柴烈火	gon cai lit fo
干水	gon sxi
干洗店	gon sri dim
干净企理	gon zej kei lei
干湿褛	gon srp lru
干炒	gon cau
干炒牛河	gon cau jru ho
干烧伊面	gon siu yi min
干争争	gon zrj zrj
干瑶柱	gon yiu cv
干萌萌	gon mrj mrj
干衣机	gon yi gei
干电	gon din
干电池	gon din ci
干鲠鲠	gon grj grj
干鲠	gon grj
乱七八糟	lvn crt bat zou
乱作一团	lvn zok yrt tvn
乱来	lvn lri
乱咁	lvn grm
乱咁舂	lvn grm zuj
乱噏	lvn jrp
乱噏廿四	lvn jrp ya sei
乱嚟	lvn lei
乱子	lvn zi
乱轰	lvn gurj
乱晒坑	lvn sai haj
乱晒笼	lvn sai luj
乱用	lvn yuj
乱立立	lvn lrp lrp
乱笼	lvn luj
乱葬岗	lvn zoj goj
乱谂嘢	lvn nrm ye
乱讲无为	lvn goj mou wri
乱车廿四	lvn ce ya sei
乱逛	lvn guaj
乱过乱世佳人	lvn guo lvn sri gai yrn
乱离	lvn lei
乱龙	lvn luj
了不得	liu brt drk
了哥	liu go
了望	liu moj
事不关己，己不劳心	si brt guan gei, gei brt lou srm
事主	si zv
事干	si gon
事先	si sin
事出有因	si cxt yru yrn
事实	si srt
事干	si gon
事后孔明	si hru huj mij
事急马行田	si grp ma haj tin
事发	si fat
事头	si tru
事头婆	si tru po
二世祖	yi sri zou
二五仔	yi j zri
二仔底	yi zi dri
二偈	yi gri
二传手	yi cvn sru
二十一	yi srp yrt
二十一日	yi srp yrt yrt
二十七日	yi srp crt yrt
二十三日	yi srp sam yrt
二十九日	yi srp gru yrt
二十二	yi srp yi
二十二日	yi srp yi yrt
二十五日	yi srp j yrt
二十八日	yi srp bat yrt
二十六日	yi srp luk yrt
二十四日	yi srp sei yrt
二十日	yi srp yrt
二千	yi cin
二叔	yi suk
二叔公	yi suk guj
二叔婆	yi suk po
二奶仔	yi nai zri
二奶命	yi nai mej
二手市场	yi sru si cxj
二打六	yi da luk
二撇鸡	yi pit gri
二日	yi yrt
二毫	yi hou
二百	yi bak
二花面	yi fa min
二进位	yi zxn wri
二进位制	yi zxn wri zri
二点钟	yi dim zuj
于思	yv si
互市	wu si
互相帮助	wu sxj boj zo
互联网协议	wu lvn moj hip yi
五一劳动节	j yrt lou duj zit
五五波	j j bo
五个字	j go zi
五内	j noi
五十五	j srp j
五千	j cin
五味架	j mei ga
五山	j san
五山站	j san zam
五年	j nin
五指	j zi
五日	j yrt
五时花六时变	j si fa luk si bin
五月茶	j yvt ca
五服	j fuk
五枝旗杆	j zi kei gon
五柳鱼	j lru yv
五桶柜	j tuj guri
五爪金龙	j zau grm luj
五百	j bak
五棱镜	j lij gej
五穷六绝	j kuj luk zvt
五花茶	j fa ca
五蛇羹	j se grj
五行欠打	j hrj him da
五行欠水	j hrj him sxi
五行缺水	j hrj kvt sxi
五邑	j yrp
五金铺	j grm pou
五颜六色	j jan luk sik
五饼二鱼	j bej yi yv
五马分尸	j ma frn si
五点钟	j dim zuj
井底之蛙	zej dri zi wa
井栏	zej lan
井水	zej sxi
井盐	zej yim
些少	se siu
些微	se mei
亚仔	a zri
亚太地区	a tai dei kxi
亚奀	a jrn
亚女	a nxi
亚奶	a nai
亚妹	a mui
亚姑	a gu
亚姨	a yi
亚婆	a po
亚妈	a ma
亚嫂	a sou
亚婶	a srm
亚庇	a bei
亚氏保加症	a si bou ga zij
亚洲台	a zru toi
亚洲四小龙	a zru sei siu luj
亚洲国际博览馆	a zru guok zri bok lam gun
