阿爸	aaba
凹凸不平	atbp
按图索骥	atsj
哀痛欲绝	atyj
碍手碍脚	auaj
昂首阔步	aukb
安身立命	aulm
阿诗玛	aum
傲视群雄	auqx
唉声叹气	autq
昂首挺胸	autx
安身之地	auvd
安身之处	auvi
安装版	avb
安枕而卧	avew
安之若素	avrs
爱之欲其生	avyu
奥委会	awh
爱屋及乌	awjw
暗无天日	awtr
按需分配	axfp
暗香疏影	axuy
爱惜羽毛	axym
奥运会	ayh
爱因斯坦	ayst
安营扎寨	ayvv
安于现状	ayxv
爱憎分明	azfm
爸爸	baba
八宝	babk
八百	babl
芭比	babi
把柄	baby
拔草	back
霸道	badk
拔掉	badc
巴豆	badb
北爱尔兰	bael
把风	bafg
八方	bafh
拔高	bagk
八哥	bage
把关	bagr
罢工	bags
八股	bagu
八卦	bagw
疤痕	bah
巴哈	baha
拔河	bahe
疤痕	bahf
跋扈	bahu
拔出	bai
扒车	baie
八成	baig
靶场	baih
把持	baii
拔出	baiu
吧唧	baji
拔尖	bajm
八角	bajc
巴结	bajx
八九	bajq
罢课	bake
扒拉	bala
巴林	baln
罢了	bale
巴黎	bali
芭蕾	balz
爸妈	bama
拔毛	bamk
把脉	baml
把门	bamf
罢免	bamm
吧女	banv
扒皮	bapi
霸权	baq
霸气	baqi
八千	baqm
霸权	baqr
罢赛	basl
拔丝	basi
八岁	basv
吧台	batl
八天	batm
拔腿	batv
罢手	bau
跋涉	baue
八十	baui
巴山	bauj
巴蜀	bauu
把守	baub
八折	bave
巴掌	bavh
霸占	bavj
霸主	bavu
把握	baw
把稳	bawf
霸王	bawh
八万	bawj
把握	bawo
把戏	bax
靶心	baxn
巴西	baxi
八仙	baxm
罢休	baxq
拔下	baxw
八旬	baxp
拔牙	baya
八音	bayn
霸业	baye
八一	bayi
八月	bayt
八字	bazi
彬彬	bnbn
不卑不亢	bbbk
宾词	bnci
办不到	bbdk
巴不得	bbde
百般刁难	bbdn
不必当真	bbdv
鬓发	bnfa
缤纷	bnff
宾馆	bngr
滨海	bnhl
滨河	bnhe
滨湖	bnhu
百步穿杨	bbiy
变本加厉	bbjl
鬓角	bnjc
比比皆是	bbju
宾客	bnke
必不可少	bbku
濒临	bnl
濒临	bnln
斑驳陆离	bbll
殡殓	bnlm
便把令来行	bblx
鬓毛	bnmk
爸爸妈妈	bbmm
败不馁	bbn
宾朋	bnpg
白白胖胖	bbpp
北半球	bbq
摈弃	bnqi
兵败如山倒	bbrd
蹦蹦跳跳	bbtt
八宝粥	bbv
不败之地	bbvd
八拜之交	bbvj
宾主	bnvu
不辨真伪	bbvw
不白之冤	bbvy
被逼无奈	bbwn
濒危	bnwz
白璧微瑕	bbwx
步步为营	bbwy
兵不血刃	bbxr
北冰洋	bby
殡仪	bnyi
彬彬有礼	bbyl
宾语	bnyu
兵不厌诈	bbyv
半辈子	bbz
殡葬	bnzh
保安	bkan
宝宝	bkbk
保本	bkbf
包庇	bkbi
包办	bkbj
薄饼	bkby
褒贬	bkbm
报表	bkbc
宝贝	bkbz
饱餐	bkcj
报错	bkco
保存	bkcp
报答	bkda
报道	bkdk
宝地	bkdi
保单	bkdj
保定	bkdy
宝典	bkdm
暴跌	bkdx
报端	bkdr
暴动	bkds
饱读	bkdu
不辞而别	bceb
保额	bkee
报恩	bken
爆发	bkfa
孢粉	bkff
暴风	bkfg
包房	bkfh
包饭	bkfj
报复	bkfu
包袱	bkfu
报废	bkfz
报告	bkg
报告	bkgk
宝盖	bkgl
饱嗝	bkge
宝钢	bkgh
包干	bkgj
曝光	bkgd
本草纲目	bcgm
包裹	bkgo
保管	bkgr
包公	bkgs
包谷	bkgu
宝贵	bkgv
包给	bkgz
包好	bkhk
饱和	bkhe
抱恨	bkhf
包含	bkhj
保皇	bkhd
包换	bkhr
保护	bkhu
包藏祸心	bchx
保持	bki
宝刹	bkia
包抄	bkik
包车	bkie
报称	bkig
饱尝	bkih
保持	bkii
刨床	bkid
爆出	bkiu
报春	bkip
报酬	bkib
保健	bkj
抱紧	bkjn
不存芥蒂	bcjd
宝鸡	bkji
报警	bkjy
褒奖	bkjd
保健	bkjm
保洁	bkjx
保举	bkju
报价	bkjw
暴君	bkjp
包括	bkk
报考	bkkk
爆开	bkkl
报刊	bkkj
包括	bkko
病从口入	bckr
宝库	bkku
抱愧	bkkv
保留	bkl
报了	bkle
爆冷	bklg
暴力	bkli
包揽	bklj
不辞劳苦	bclk
爆料	bklc
包罗	bklo
爆裂	bklx
保留	bklq
暴乱	bklr
暴露	bklu
堡垒	bklz
保密	bkm
宝马	bkma
百辞莫辩	bcmb
保密	bkmi
饱满	bkmj
报名	bkmy
薄膜	bkmo
保姆	bkmu
胞妹	bkmz
包你	bkni
保暖	bknr
暴虐	bknt
暴怒	bknu
爆棚	bkpg
报批	bkpi
包票	bkpc
爆破	bkpo
包赔	bkpz
抱歉	bkq
抱起	bkqi
报请	bkqy
抱歉	bkqm
保全	bkqr
抱屈	bkqu
暴热	bkre
保人	bkrf
薄弱	bkro
包容	bkrs
报送	bks
报丧	bksh
暴死	bksi
报送	bkss
宝塔	bkta
爆胎	bktl
煲汤	bkth
报摊	bktj
报亭	bkty
暴跳	bktc
抱团	bktr
暴徒	bktu
包退	bktv
包头	bktb
薄纱	bkua
暴晒	bkul
报社	bkue
报审	bkuf
报上	bkuh
宝石	bkui
宝山	bkuj
抱残守缺	bcuq
报数	bkuu
报税	bkuv
保守	bkub
爆炸	bkva
抱着	bkve
保真	bkvf
保证	bkvg
保障	bkvh
报纸	bkvi
报站	bkvj
包装	bkvd
保重	bkvs
抱住	bkvu
保准	bkvp
煲粥	bkvb
保温	bkwf
博茨瓦纳	bcwn
宝物	bkwu
包围	bkwz
保卫	bkwz
保险	bkx
报信	bkxn
报喜	bkxi
暴行	bkxy
包厢	bkxd
保险	bkxm
报销	bkxc
保修	bkxq
胞兄	bkxs
包下	bkxw
报讯	bkxp
龅牙	bkya
暴饮	bkyn
报业	bkye
保养	bkyh
报以	bkyi
报应	bkyy
抱怨	bkyr
包月	bkyt
暴雨	bkyu
保佑	bkyb
包扎	bkza
暴躁	bkzk
包在	bkzl
暴增	bkzg
宝藏	bkzh
包子	bkzi
宝座	bkzo
包租	bkzu
不得不	bdb
拜把	blba
百宝	blbk
白白	blbl
败笔	blbi
百般	blbj
百病	blby
宝刀不老	bdbl
百变	blbm
拜别	blbx
摆布	blbu
百倍	blbz
不大不小	bdbx
百读不厌	bdby
白菜	blc
百草	blck
白菜	blcl
白醋	blcu
百度	bld
白搭	blda
拜倒	bldk
白带	bldl
白底	bldi
白点	bldm
摆动	blds
不登大雅之堂	bddt
百度	bldu
背道而驰	bdei
拔地而起	bdeq
不得而知	bdev
白发	blfa
百分	blff
拜访	blfh
白饭	blfj
拜佛	blfo
白费	blfz
白宫	blg
白鸽	blge
白干	blgj
白光	blgd
百官	blgr
白宫	blgs
白骨	blgu
败给	blgz
摆好	blhk
百合	blhe
败坏	blhy
百货	blho
不得好死	bdhs
白虎	blhu
拜会	blhv
白话	blhw
白喉	blhb
不动产	bdi
白痴	blii
百川	blir
摆出	bliu
百丑	blib
不对劲	bdj
白金	bljn
兵多将广	bdjg
败绩	blji
白净	bljy
败将	bljd
拜见	bljm
白酒	bljq
白卷	bljr
拜爵	bljt
败局	blju
博大精深	bdju
百家	bljw
败军	bljp
摆开	blkl
百科	blke
遍地开花	bdkh
不大可能	bdkn
摆阔	blko
败寇	blkb
不得了	bdl
白蜡	blla
布达拉宫	bdlg
百里	blli
白领	blly
白脸	bllm
败落	bllo
摆列	bllx
白鹭	bllu
败类	bllz
白马	blma
白忙	blmh
摆满	blmj
摆明	blmy
白面	blmm
白描	blmc
白沫	blmo
百年	bln
白嫩	blnf
百年	blnm
百鸟	blnc
摆弄	blns
摆平	blpy
摆谱	blpu
不定期	bdq
百强	blqd
不得其所	bdqs
白人	blrf
白日	blri
不得人心	bdrx
白肉	blrb
白色	bls
白色	blse
冰冻三尺	bdsi
白送	blss
败诉	blsu
百岁	blsv
拜托	blt
百态	bltl
白糖	blth
摆摊	bltj
白天	bltm
白条	bltc
摆脱	blto
白铁	bltx
白兔	bltu
败退	bltv
白头	bltb
白纱	blua
白芍	bluk
摆设	blue
拜神	bluf
摆上	bluh
拜师	blui
拜山	bluj
白霜	blud
白说	bluo
不动声色	bdus
白水	bluv
拜寿	blub
不得志	bdv
败招	blvk
摆着	blve
败阵	blvf
摆正	blvg
败仗	blvh
白纸	blvi
百战	blvj
白昼	blvb
本单位	bdw
拜望	blwh
百万	blwj
不得无礼	bdwl
白雾	blwu
百位	blwz
北斗星	bdx
白皙	blxi
百姓	blxy
白线	blxm
拜谢	blxx
白熊	blxs
白雪	blxt
败絮	blxu
拔刀相助	bdxv
不得已	bdy
白银	blyn
白药	blyk
百业	blye
白杨	blyh
白衣	blyi
白眼	blyj
弊大于利	bdyl
百元	blyr
白玉	blyu
不得已而为之	bdyv
白云	blyp
摆在	blz
摆在	blzl
白字	blzi
白做	blzo
白族	blzu
不打自招	bdzv
败走	blzb
博而不精	bebj
避而不谈	bebt
不二法门	befm
巴尔干	beg
包二奶	ben
布尔什维克	beuk
巴尔扎克	bevk
本案	bfan
本报	bfbk
笨笨	bfbf
本币	bfbi
本表	bfbc
奔波	bfbo
本部	bfbu
百发百中	bfbv
本次	bfci
不复存在	bfcz
本当	bfdh
本地	bfdi
笨蛋	bfdj
本队	bfdv
百废待兴	bfdx
本分	bff
本分	bfff
奔放	bffh
奔赴	bffu
本该	bfg
本该	bfgl
本港	bfgh
本国	bfgo
本行	bfh
本行	bfhh
奔驰	bfi
本场	bfih
奔驰	bfii
不费吹灰之力	bfil
奔出	bfiu
本金	bfjn
本季	bfji
本届	bfjx
本就	bfjq
本家	bfjw
本科	bfk
本科	bfke
本刊	bfkj
本来	bfl
本来	bfll
本利	bfli
本领	bfly
奔流	bflq
本类	bflz
本轮	bflp
本门	bfm
奔马	bfma
本门	bfmf
奔忙	bfmh
本名	bfmy
本末	bfmo
本能	bfng
本年	bfnm
笨鸟	bfnc
奔跑	bfp
奔跑	bfpk
本票	bfpc
播放器	bfq
不分青红皂白	bfqb
本期	bfqi
本钱	bfqm
不乏其人	bfqr
奔去	bfqu
本人	bfr
本人	bfrf
本日	bfri
本色	bfse
奔丧	bfsh
奔腾	bft
奔逃	bftk
奔腾	bftg
本庭	bfty
本田	bftm
本条	bftc
本土	bftu
悲愤填膺	bfty
奔头	bftb
本身	bfuf
本省	bfug
本事	bfui
百分之百	bfvb
本着	bfve
本质	bfvi
本站	bfvj
笨拙	bfvo
笨重	bfvs
不法之徒	bfvt
笨猪	bfvu
不负众望	bfvw
捕风捉影	bfvy
本周	bfvb
本文	bfw
本文	bfwf
本无	bfwu
本位	bfwz
本息	bfx
本息	bfxi
白费心机	bfxj
本性	bfxy
本想	bfxd
本校	bfxc
奔泻	bfxx
不分轩轾	bfxv
不法行为	bfxw
本月	bfy
本页	bfye
本意	bfyi
本应	bfyy
本院	bfyr
奔涌	bfys
本月	bfyt
本在	bfz
本在	bfzl
本子	bfzi
笨嘴	bfzv
奔走	bfzb
半工半读	bgbd
不管不顾	bgbg
不干不净	bgbj
秉公办理	bgbl
蚌埠	bgbu
不敢当	bgd
绷带	bgdl
蹦迪	bgdi
崩掉	bgdc
绷断	bgdr
不共戴天	bgdt
不过尔尔	bgee
办公费	bgf
迸发	bgfa
甭管	bgg
甭管	bggr
不敢苟同	bggt
蹦床	bgid
白骨精	bgj
绷紧	bgjn
蹦极	bgji
百感交集	bgjj
不甘寂寞	bgjm
崩溃	bgkv
办公楼	bgl
不甘落后	bglh
八国联军	bglj
波光粼粼	bgll
不敢掠美	bglm
崩落	bglo
崩裂	bglx
崩盘	bgpj
卑躬屈膝	bgqx
不过如此	bgrc
闭关锁国	bgsg
不管三七二十一	bgsy
包工头	bgt
崩塌	bgta
甭提	bgti
博古通今	bgtj
蹦跳	bgtc
不关痛痒	bgty
迸射	bgue
办公室	bgui
半个世纪	bguj
甭说	bguo
不甘示弱	bgur
兵贵神速	bgus
不管是谁	bguu
杯弓蛇影	bguy
绷着	bgve
秉公执法	bgvf
绷直	bgvi
不轨之徒	bgvt
秉公无私	bgws
甭想	bgxd
不感兴趣	bgxq
半个月	bgy
不顾一切	bgyq
不攻自破	bgzp
闭关自守	bgzu
不会吧	bhb
帮帮	bhbh
不慌不忙	bhbm
棒打	bhda
变化多端	bhdd
绑定	bhdy
不寒而栗	bhel
不欢而散	bhes
绑匪	bhfz
不合格	bhg
别鹤孤鸾	bhgl
帮工	bhgs
帮规	bhgv
北回归线	bhgx
白花花	bhh
棒喝	bhhe
帮会	bhhv
不怀好意	bhhy
帮衬	bhif
磅秤	bhig
棒槌	bhiv
绑紧	bhjn
棒极	bhji
邦交	bhjc
绑架	bhjw
蚌壳	bhk
蚌壳	bhke
绑牢	bhlk
帮了	bhle
悲欢离合	bhlh
变幻莫测	bhmc
帮忙	bhmh
兵荒马乱	bhml
帮你	bhn
帮你	bhni
绑票	bhp
帮派	bhpl
绑票	bhpc
百花齐放	bhqf
帮腔	bhqd
棒球	bhqq
帮人	bhrf
帮他	bht
帮他	bhta
榜上	bhuh
不合时宜	bhuy
帮手	bhub
帮助	bhv
帮着	bhve
不惑之年	bhvn
抱恨终天	bhvt
帮助	bhvu
百花争艳	bhvy
帮我	bhw
变幻无常	bhwi
傍晚	bhwj
帮我	bhwo
变化无穷	bhwq
帮凶	bhx
冰魂雪魄	bhxp
帮凶	bhxs
榜样	bhyh
榜眼	bhyj
不好意思	bhys
绑在	bhz
绑在	bhzl
棒子	bhzi
彼岸	bia
彼岸	bian
必败	bibl
臂膀	bibh
比比	bibi
弊病	biby
碧波	bibo
把持不住	bibv
必备	bibz
碧草	bick
彼此	bici
笔答	bida
必得	bide
壁灯	bidg
必定	bidy
笔调	bidc
弊端	bidr
必读	bidu
比对	bidv
鼻窦	bidb
比方	bif
笔法	bifa
比分	biff
避风	bifg
比方	bifh
百尺竿头更进一步	bigb
百川归海	bigh
笔杆	bigj
避光	bigd
避过	bigo
闭关	bigr
逼供	bigs
百尺竿头	bigt
壁柜	bigv
壁挂	bigw
碧海	bihl
闭合	bihe
避寒	bihj
不差毫厘	bihl
避祸	biho
庇护	bihu
避讳	bihv
笔画	bihw
逼婚	bihp
壁橱	biiu
比较	bij
笔记	biji
毕竟	bijy
必将	bijd
比肩	bijm
比较	bijc
必究	bijq
闭卷	bijr
备尝艰辛	bijx
避开	bikl
鼻孔	biks
闭口	bikb
比例	bil
比邻	biln
比例	bili
碧蓝	bilj
鼻梁	bild
闭路	bilu
比率	bilv
壁垒	bilz
笔帽	bimk
闭门	bimf
鞭长莫及	bimj
笔名	bimy
避免	bimm
笔墨	bimo
闭幕	bimu
比美	bimz
比你	bini
避难	binj
婢女	binv
比拼	bipn
臂膀	biph
逼迫	bipo
比起	biqi
鼻腔	biqd
壁球	biqq
鄙人	birf
避让	birh
必然	birj
比如	biru
比赛	bis
比萨	bisa
比赛	bisl
闭塞	bise
必死	bisi
不出所料	bisl
比索	biso
比他	bita
笔套	bitk
比特	bite
鼻涕	biti
笔谈	bitj
笔挺	bity
笔筒	bits
不成体统	bitt
鼻头	bitb
必杀	biua
必胜	biug
闭上	biuh
鄙视	biui
避税	biuv
笔顺	biup
匕首	biub
比照	bivk
逼债	bivl
闭着	bive
逼真	bivf
必争	bivg
臂章	bivh
笔直	bivi
比重	bivs
臂肘	bivb
逼问	biwf
臂弯	biwj
比我	biwo
比武	biwu
笔芯	bixn
别出心裁	bixc
报仇雪恨	bixh
鼻息	bixi
笔形	bixy
避嫌	bixm
避邪	bixx
必修	bixq
必选	bixr
鼻血	bixt
必须	bixu
不耻下问	bixw
陛下	bixw
补充协议	bixy
必要	biy
鼻音	biyn
必要	biyk
毕业	biye
裨益	biyi
闭眼	biyj
不齿于人	biyr
比喻	biyu
避孕	biyp
必有	biyb
鼻子	bizi
比作	bizo
鼻祖	bizu
闭嘴	bizv
逼走	bizb
办案	bjan
半百	bjbl
版本	bjbf
半壁	bjbi
斑斑	bjbj
搬兵	bjby
半斤八两	bjbl
半边	bjbm
斑驳	bjbo
不见不散	bjbs
颁布	bjbu
不骄不躁	bjbz
半仓	bjc
板材	bjcl
半仓	bjch
班次	bjci
饱经沧桑	bjcs
半岛	bjdk
不见得	bjde
板凳	bjdg
班底	bjdi
斑点	bjdm
不减当年	bjdn
搬动	bjds
伴读	bjdu
北京大学	bjdx
半蹲	bjdp
比肩而立	bjel
不胫而走	bjez
办法	bjfa
半分	bjff
饱经风霜	bjfu
班费	bjfz
不及格	bjg
半个	bjge
不见棺材不落泪	bjgl
办公	bjgs
版规	bjgv
颁给	bjgz
白驹过隙	bjgx
办好	bjh
办好	bjhk
瘢痕	bjhf
半行	bjhh
半酣	bjhj
扳回	bjhv
版画	bjhw
半场	bji
班车	bjie
办成	bjig
半场	bjih
班禅	bjij
班船	bjir
搬出	bjiu
搬进	bjjn
班级	bjji
半径	bjjy
颁奖	bjjd
半角	bjjc
半截	bjjx
斑鸠	bjjq
半句	bjju
不见经传	bjjv
搬家	bjjw
不觉技痒	bjjy
版块	bjk
搬开	bjkl
版块	bjky
半空	bjks
扮酷	bjku
半口	bjkb
办了	bjle
伴郎	bjlh
办理	bjli
斑斓	bjlj
冰激凌	bjly
扮靓	bjld
半裸	bjlo
半路	bjlu
伴侣	bjlv
背井离乡	bjlx
保加利亚	bjly
斑马	bjma
版面	bjmm
半秒	bjmc
瓣膜	bjmo
比基尼	bjn
伴娘	bjnd
半年	bjnm
搬弄	bjns
半拍	bjpl
半瓶	bjpy
半票	bjpc
半坡	bjpo
般配	bjpz
不景气	bjq
搬迁	bjqm
并驾齐驱	bjqq
版权	bjqr
不计其数	bjqu
不仅如此	bjrc
半日	bjri
不近人情	bjrq
不尽人意	bjry
半死	bjsi
不见森林	bjsl
不假思索	bjss
巴基斯坦	bjst
伴随	bjsv
半天	bjtm
办妥	bjto
不见天日	bjtr
半桶	bjts
版图	bjtu
北京市	bju
半身	bjuf
半生	bjug
办事	bjui
北京时间	bjuj
杯酒释兵权	bjuq
半数	bjuu
版税	bjuv
扳手	bjub
必经之地	bjvd
伴着	bjve
斑疹	bjvf
办证	bjvg
班长	bjvh
败军之将	bjvj
必经之路	bjvl
不解之谜	bjvm
板砖	bjvr
不经之谈	bjvt
版主	bjvu
斑纹	bjwf
保家卫国	bjwg
办完	bjwj
伴舞	bjwu
北极星	bjx
半新	bjxn
不拘小节	bjxj
颁行	bjxy
扮相	bjxd
半仙	bjxm
半悬	bjxr
办学	bjxt
不经意	bjy
板鸭	bjya
伴音	bjyn
半夜	bjye
颁发	bjyf
不拘一格	bjyg
别具一格	bjyg
搬移	bjyi
扮演	bjyj
半圆	bjyr
搬用	bjys
半月	bjyt
不经一事	bjyu
不经一事不长一智	bjyv
搬运	bjyp
伴有	bjyb
败家子	bjz
班子	bjzi
扮作	bjzo
不进则退	bjzt
班组	bjzu
拌嘴	bjzv
伴奏	bjzb
并按	byan
冰雹	bybk
兵败	bybl
冰棒	bybh
冰冰	byby
病变	bybm
并不	bybu
闭口不言	bkby
并存	byc
冰层	bycg
病残	bycj
并存	bycp
冰岛	bydk
不可多得	bkdd
冰灯	bydg
并蒂	bydi
兵丁	bydy
冰点	bydm
冰雕	bydc
冰冻	byds
病毒	bydu
兵法	byfa
冰封	byfg
病房	byfh
不可否认	bkfr
禀赋	byfu
并非	byfz
禀告	bygk
冰盖	bygl
病根	bygf
饼干	bygj
不可估量	bkgl
不可告人	bkgr
秉公	bygs
病故	bygu
冰柜	bygv
冰挂	bygw
冰棍	bygp
并购	bygb
病号	byhk
病害	byhl
冰河	byhe
冰寒	byhj
不可或缺	bkhq
病患	byhr
不堪回首	bkhu
病后	byhb
并称	byi
秉承	byig
秉持	byii
病床	byid
冰川	byir
摒除	byiu
并将	byj
并进	byjn
并集	byji
冰晶	byjy
并将	byjd
并肩	byjm
冰窖	byjc
并就	byjq
并举	byju
病假	byjw
病菌	byjp
不可救药	bkjy
并可	byk
并可	byke
不可开交	bkkj
冰块	byky
病况	bykd
并口	bykb
冰冷	byl
病了	byle
冰冷	bylg
槟榔	bylh
病例	byli
冰凌	byly
冰凉	byld
并联	bylm
并列	bylx
不可理喻	bkly
兵马	byma
百口莫辩	bkmb
禀明	bymy
冰面	bymm
病魔	bymo
不可名状	bkmv
并没	bymz
不可能	bkn
并排	bypl
不可偏废	bkpf
冰片	bypm
兵器	byqi
不可企及	bkqj
病情	byqy
并且	byqx
冰球	byqq
兵权	byqr
百科全书	bkqu
病人	byr
不堪入耳	bkre
病人	byrf
不堪入目	bkrm
病弱	byro
病容	byrs
并入	byru
宾客如云	bkry
病死	bys
病死	bysi
不看僧面看佛面	bksm
丙酸	bysr
不可思议	bksy
病痛	byt
病榻	byta
病态	bytl
冰糖	byth
病体	byti
兵团	bytr
病痛	byts
病退	bytv
不可同日而语	bkty
冰上	byuh
病逝	byui
冰山	byuj
冰霜	byud
别开生面	bkum
兵书	byuu
冰水	byuv
不堪设想	bkux
并重	byv
冰镇	byvf
病症	byvg
病状	byvd
不可捉摸	bkvm
冰砖	byvr
兵种	byvs
屏住	byvu
并无	bywu
并未	bywz
不开心	bkx
冰心	byxn
并行	byxy
冰箱	byxd
冰鞋	byxx
病休	byxq
冰雪	byxt
不可想象	bkxx
不可以	bky
病因	byyn
并要	byyk
不可言传	bkyi
不堪一击	bkyj
兵营	byyy
病源	byyr
并用	byys
并于	byyu
不可言状	bkyv
不可言喻	bkyy
